raw_event,sample_count,phase,anchor,seconds_from_anchor
"Screening",693484,SCREENING,SCREENING,0
"Cycle 1 Day 1",350582,ON_TREATMENT,CYCLE_1,0
"C1D1",189858,ON_TREATMENT,CYCLE_1,0
"Day 1",186353,ON_TREATMENT,BASELINE,86400
"Baseline",178433,BASELINE,BASELINE,0
"Cycle 2 Day 1",171532,ON_TREATMENT,CYCLE_2,0
"UNSCHEDULED",157465,UNSCHEDULED,,
"Cycle 3 Day 1",140895,ON_TREATMENT,CYCLE_3,0
"NA",131295,NOT_SPECIFIED,,
"D1",107333,ON_TREATMENT,BASELINE,86400
"Baseline Day 1",95365,BASELINE,BASELINE,0
"Week 24",93626,ON_TREATMENT,BASELINE,14515200
"Archival Tissue",93399,ARCHIVAL,,
"Treatment Discontinuation",91997,END_OF_TREATMENT,,
"C2D1",90243,ON_TREATMENT,CYCLE_2,0
"Unscheduled",88481,UNSCHEDULED,,
"Cycle 4 Day 1",86552,ON_TREATMENT,CYCLE_4,0
"Week 4",78347,ON_TREATMENT,BASELINE,2419200
"Not Specified",66096,NOT_SPECIFIED,,
"SCREENING",62539,SCREENING,SCREENING,0
"Archival",58554,ARCHIVAL,,
"Week 12",58487,ON_TREATMENT,BASELINE,7257600
"C3D1",56874,ON_TREATMENT,CYCLE_3,0
"SCRN",56784,SCREENING,SCREENING,0
"C4D1",52332,ON_TREATMENT,CYCLE_4,0
"Week 52",48440,ON_TREATMENT,BASELINE,31449600
"Early Termination",46326,END_OF_TREATMENT,,
"DAY 1",44907,ON_TREATMENT,BASELINE,86400
"Day 2",42375,ON_TREATMENT,BASELINE,172800
"Cycle 1 Day 15",42150,ON_TREATMENT,CYCLE_1,1209600
"Week 48",41186,ON_TREATMENT,BASELINE,29030400
"Day 3",38913,ON_TREATMENT,BASELINE,259200
"UNSCH",38031,UNSCHEDULED,,
"Cycle 8 Day 1",37349,ON_TREATMENT,CYCLE_8,0
"Week 13",37064,ON_TREATMENT,BASELINE,7862400
"Cycle 1 Day 8",36784,ON_TREATMENT,CYCLE_1,604800
"Day 7",36178,ON_TREATMENT,BASELINE,604800
"Day 1 Visit 2",35266,ON_TREATMENT,BASELINE,86400
"Day 1 Week 0",35051,BASELINE,BASELINE,0
"Day 5",34498,ON_TREATMENT,BASELINE,432000
"Optional BBBM Prescreening",33960,SCREENING,SCREENING,0
"Week 8",32383,ON_TREATMENT,BASELINE,4838400
"Week 10",32288,ON_TREATMENT,BASELINE,6048000
"Week 14",32082,ON_TREATMENT,BASELINE,8467200
"Week 5",31926,ON_TREATMENT,BASELINE,3024000
"BASELINE",30701,BASELINE,BASELINE,0
"Cycle 5 Day 1",30573,ON_TREATMENT,CYCLE_5,0
"Week 1",30518,ON_TREATMENT,BASELINE,604800
"Week 0",30081,BASELINE,BASELINE,0
"End of Treatment",29779,END_OF_TREATMENT,,
"Week 53",29403,ON_TREATMENT,BASELINE,32054400
"DAY1",28252,ON_TREATMENT,BASELINE,86400
"Week 37",27027,ON_TREATMENT,BASELINE,22377600
"Week 21",26701,ON_TREATMENT,BASELINE,12700800
"Week 1 Day 1",26421,ON_TREATMENT,BASELINE,604800
"Week 76",26208,ON_TREATMENT,BASELINE,45964800
