original_category,canonical_category,original_count
"PRIOR_THERAPY","PRIOR_THERAPY",3995
"DIAGNOSIS","DIAGNOSIS",3530
"INFECTION","INFECTION",2763
"prior_treatment","prior_treatment",2623
"ORGAN_FUNCTION_LABS","ORGAN_FUNCTION_LABS",2279
"OTHER","OTHER",2262
"age","age",2176
"CARDIAC","CARDIAC",2045
"PREGNANCY_CONTRACEPTION","PREGNANCY_CONTRACEPTION",1817
"CONCOMITANT_MEDS","CONCOMITANT_MEDS",1571
"performance_status","performance_status",1256
"CNS","CNS",1238
"disease","disease",1184
"SURGERY","SURGERY",1178
"pregnancy","pregnancy",1175
"ALLERGY","ALLERGY",1110
"CONSENT","CONSENT",943
"STUDY_LOGISTICS","STUDY_LOGISTICS",925
"BIOMARKER","BIOMARKER",828
"medication","medication",761
"OTHER_MALIGNANCY","OTHER_MALIGNANCY",730
"disease_status","disease_status",710
"medical_history","medical_history",701
"life_expectancy","life_expectancy",647
"MEASURABLE_DISEASE","MEASURABLE_DISEASE",633
"contraception","contraception",590
"lab_values","lab_values",590
"AUTOIMMUNE","AUTOIMMUNE",568
"SUBSTANCE_ABUSE","SUBSTANCE_ABUSE",559
"OPHTHALMOLOGIC","OPHTHALMOLOGIC",542
"DISEASE_STAGE","DISEASE_STAGE",530
"GI_FUNCTION","GI_FUNCTION",523
"organ_function","organ_function",518
"LIVER_DISEASE","LIVER_DISEASE",487
"medical_condition","medical_condition",420
"BLEEDING_COAGULATION","BLEEDING_COAGULATION",410
"WASHOUT_TIMING","WASHOUT_TIMING",403
"laboratory","laboratory",398
"VACCINATION","VACCINATION",397
"cardiovascular","cardiovascular",362
"PSYCHIATRIC","PSYCHIATRIC",348
"CLINICAL_SCORE","CLINICAL_SCORE",314
"treatment","treatment",312
"lab","lab",292
"malignancy","malignancy",286
"reproductive","reproductive",285
"prior_malignancy","prior_malignancy",275
"infectious_disease","infectious_disease",275
"BODY_WEIGHT","BODY_WEIGHT",272
"hypersensitivity","hypersensitivity",266
"compliance","compliance",258
"general","general",244
"cns_disease","cns_disease",226
"informed_consent","informed_consent",220
"concomitant_medication","concomitant_medication",218
"comorbidity","comorbidity",215
"imaging","imaging",160
"DISEASE_DURATION","DISEASE_DURATION",156
"pulmonary","pulmonary",152
"hiv","hiv",141
"renal_function","renal_function",141
"demographics","demographics",133
"gastrointestinal","gastrointestinal",131
"concurrent_medication","concurrent_medication",129
"treatment_history","treatment_history",128
"hypertension","hypertension",118
"procedure","procedure",112
"medical","medical",112
"coagulation","coagulation",111
"bleeding","bleeding",104
"cns_metastases","cns_metastases",102
"prior_surgery","prior_surgery",100
"autoimmune_disease","autoimmune_disease",98
"substance_use","substance_use",97
"toxicity","toxicity",95
"safety","safety",95
"wound_healing","wound_healing",94
"immunosuppression","immunosuppression",92
"prior_medication","prior_medication",91
"vascular","vascular",89
"bmi","bmi",89
"ocular","ocular",86
"disease_specific","disease_specific",86
"health_status","health_status",83
"anticoagulation","anticoagulation",81
"study_participation","study_participation",81
"drug_allergy","drug_allergy",80
"liver_function","liver_function",77
"viral_infection","viral_infection",77
"disease_type","disease_type",76
"serology","serology",75
"performance","performance",75
"transplant","transplant",75
"general_health","general_health",74
"neurological","neurological",73
"contraindication","contraindication",72
"renal","renal",72
"disease_characteristics","disease_characteristics",72
"pregnancy_status","pregnancy_status",72
"neuropathy","neuropathy",71
"ocular_condition","ocular_condition",71
"allergies","ALLERGY",70
"disease_severity","disease_severity",70
"disease_diagnosis","disease_diagnosis",67
"hepatic","hepatic",67
"pregnancy_test","pregnancy_test",66
"prior_study","prior_study",62
"hematologic","hematologic",61
"disease_state","disease_state",61
"drug_interaction","drug_interaction",60
"pulmonary_function","pulmonary_function",60
"metabolic","metabolic",58
"malignancy_history","malignancy_history",57
"cardiac_function","cardiac_function",57
"genetic","genetic",56
"histology","histology",55
"hepatic_function","hepatic_function",55
"disease_activity","disease_activity",53
"prior_immunotherapy","prior_immunotherapy",53
"reproductive_health","reproductive_health",53
"comorbidities","comorbidity",52
"disease_assessment","disease_assessment",52
"concurrent_treatment","concurrent_treatment",52
"hepatitis","hepatitis",51
"ecog","ecog",51
"vital_signs","vital_signs",50
"population","population",49
"concurrent_study","concurrent_study",49
"weight","weight",49
"gi","gi",49
"Laboratory Values","Laboratory Values",49
"lifestyle","lifestyle",48
"hematology","hematology",48
