original_category,semantic_group,original_count
"PRIOR_THERAPY","PRIOR_TREATMENT",3995
"prior_treatment","PRIOR_TREATMENT",2623
"treatment","PRIOR_TREATMENT",312
"treatment_history","PRIOR_TREATMENT",128
"prior_medication","PRIOR_TREATMENT",91
"prior_chemotherapy","PRIOR_TREATMENT",39
"prior_immunotherapy","PRIOR_TREATMENT",53
"concomitant_therapy","PRIOR_TREATMENT",38
"concurrent_treatment","PRIOR_TREATMENT",52
"prohibited_therapy","PRIOR_TREATMENT",2
"DIAGNOSIS","DIAGNOSIS",3530
"disease","DIAGNOSIS",1184
"disease_status","DIAGNOSIS",710
"disease_diagnosis","DIAGNOSIS",67
"disease_type","DIAGNOSIS",76
"disease_state","DIAGNOSIS",61
"disease_characteristics","DIAGNOSIS",72
"disease_specific","DIAGNOSIS",86
"disease_severity","DIAGNOSIS",70
"disease_activity","DIAGNOSIS",53
"disease_assessment","DIAGNOSIS",52
"disease_progression","DIAGNOSIS",44
"disease_extent","DIAGNOSIS",39
"disease_history","DIAGNOSIS",38
"DISEASE_STAGE","DISEASE_STAGE",530
"DISEASE_DURATION","DISEASE_STAGE",156
"histology","HISTOLOGY",55
"INFECTION","INFECTION",2763
"infectious_disease","INFECTION",275
"viral_infection","INFECTION",77
"serology","INFECTION",75
"infection_status","INFECTION",40
"hepatitis","INFECTION",51
"hepatitis_b","INFECTION",46
"hiv","INFECTION",141
"hiv_status","INFECTION",43
"tuberculosis","INFECTION",37
"ORGAN_FUNCTION_LABS","LAB_VALUES",2279
"lab_values","LAB_VALUES",590
"laboratory","LAB_VALUES",398
"lab","LAB_VALUES",292
"organ_function","LAB_VALUES",518
"renal_function","LAB_VALUES",141
"liver_function","LAB_VALUES",77
"hepatic_function","LAB_VALUES",55
"cardiac_function","LAB_VALUES",57
"pulmonary_function","LAB_VALUES",60
"lab_abnormality","LAB_VALUES",30
"Laboratory Values","LAB_VALUES",49
"hematologic","LAB_VALUES",61
"hematology","LAB_VALUES",48
"age","AGE",2176
"demographics","AGE",133
"age_gender","AGE",12
"CARDIAC","CARDIAC",2045
"cardiovascular","CARDIAC",362
"cardiac_disease","CARDIAC",41
"cardiac_pulmonary","CARDIAC",13
"hypertension","CARDIAC",118
"PREGNANCY_CONTRACEPTION","PREGNANCY_CONTRACEPTION",1818
"pregnancy","PREGNANCY_CONTRACEPTION",1175
"contraception","PREGNANCY_CONTRACEPTION",590
"reproductive","PREGNANCY_CONTRACEPTION",285
"reproductive_health","PREGNANCY_CONTRACEPTION",53
"pregnancy_status","PREGNANCY_CONTRACEPTION",72
"pregnancy_test","PREGNANCY_CONTRACEPTION",67
"pregnancy_and_contraception","PREGNANCY_CONTRACEPTION",6
"contraception_male","PREGNANCY_CONTRACEPTION",23
"contraception_female","PREGNANCY_CONTRACEPTION",15
"CONCOMITANT_MEDS","CONCOMITANT_MEDS",1571
"medication","CONCOMITANT_MEDS",761
"concomitant_medication","CONCOMITANT_MEDS",218
"concurrent_medication","CONCOMITANT_MEDS",129
"drug_interaction","CONCOMITANT_MEDS",61
"anticoagulation","CONCOMITANT_MEDS",81
"performance_status","PERFORMANCE_STATUS",1256
"performance","PERFORMANCE_STATUS",75
"ecog","PERFORMANCE_STATUS",51
"health_status","PERFORMANCE_STATUS",83
"general_health","PERFORMANCE_STATUS",74
"CNS","CNS",1238
"cns_disease","CNS",226
"cns_metastases","CNS",102
"neurological","CNS",73
"neuropathy","CNS",71
"ALLERGY","ALLERGY",1180
"hypersensitivity","ALLERGY",266
"drug_allergy","ALLERGY",83
"contraindication","CONTRAINDICATION",72
"SURGERY","SURGERY",1178
"procedure","SURGERY",112
"prior_surgery","SURGERY",100
"wound_healing","SURGERY",94
"STUDY_LOGISTICS","STUDY_LOGISTICS",925
"CONSENT","STUDY_LOGISTICS",943
"informed_consent","STUDY_LOGISTICS",220
"compliance","STUDY_LOGISTICS",258
"study_participation","STUDY_LOGISTICS",81
"prior_study","STUDY_LOGISTICS",76
"concurrent_study","STUDY_LOGISTICS",67
"OTHER_MALIGNANCY","OTHER_MALIGNANCY",732
"malignancy","OTHER_MALIGNANCY",287
"prior_malignancy","OTHER_MALIGNANCY",284
"malignancy_history","OTHER_MALIGNANCY",57
"cancer_history","OTHER_MALIGNANCY",42
"AUTOIMMUNE","AUTOIMMUNE",568
"autoimmune_disease","AUTOIMMUNE",98
"immunosuppression","AUTOIMMUNE",92
"immunodeficiency","AUTOIMMUNE",48
"BIOMARKER","BIOMARKER",828
"MEASURABLE_DISEASE","MEASURABLE_DISEASE",656
"GI_FUNCTION","GI_FUNCTION",523
"gastrointestinal","GI_FUNCTION",131
"gi","GI_FUNCTION",49
"LIVER_DISEASE","LIVER_DISEASE",487
"hepatic","LIVER_DISEASE",67
"SUBSTANCE_ABUSE","SUBSTANCE_ABUSE",559
"substance_use","SUBSTANCE_ABUSE",97
"smoking","SUBSTANCE_ABUSE",45
"lifestyle","SUBSTANCE_ABUSE",48
"BLEEDING_COAGULATION","BLEEDING_COAGULATION",410
"coagulation","BLEEDING_COAGULATION",111
"bleeding","BLEEDING_COAGULATION",104
"WASHOUT_TIMING","WASHOUT_TIMING",403
"BODY_WEIGHT","BODY_WEIGHT",272
"bmi","BODY_WEIGHT",89
