semantic_group,canonical_key,source_key,transform,source_count
"LAB_VALUES","lab_test","test","none",164
"LAB_VALUES","lab_test","parameter","none",87
"LAB_VALUES","lab_test","lab","none",70
"LAB_VALUES","lab_test","lab_test","none",29
"LAB_VALUES","lab_test","lab_name","none",5
"LAB_VALUES","lab_test","lab_tests","none",9
"LAB_VALUES","lab_test","tests","none",20
"LAB_VALUES","lab_test","parameters","none",19
"LAB_VALUES","lab_test","labs","none",15
"LAB_VALUES","lab_test","lab_value","none",8
"LAB_VALUES","lab_test","lab_measure","none",3
"LAB_VALUES","lab_test","measure","none",4
"LAB_VALUES","lab_test","lab_requirement","none",4
"LAB_VALUES","lab_test","lab_requirements","none",3
"LAB_VALUES","unit","unit","none",395
"LAB_VALUES","unit","units","none",2
"LAB_VALUES","operator","operator","none",101
"LAB_VALUES","operator","comparison","none",13
"LAB_VALUES","operator","relative_to","none",8
"LAB_VALUES","anc_min","anc_min","none",138
"LAB_VALUES","anc_min","neutrophil_min","none",10
"LAB_VALUES","anc_min","neutrophils_min","none",9
"LAB_VALUES","anc_min","granulocyte_min","none",8
"LAB_VALUES","anc_min","granulocytes_min","none",2
"LAB_VALUES","anc_min","neutrophil_count_min","none",3
"LAB_VALUES","anc_min","anc_minimum","none",4
"LAB_VALUES","anc_min","min_anc","none",2
"LAB_VALUES","anc_min","anc_min_per_ul","none",8
"LAB_VALUES","anc_min","anc_min_per_mm3","none",4
"LAB_VALUES","anc_min","anc_min_gpl","none",2
"LAB_VALUES","anc_min","anc_min_mcl","none",2
"LAB_VALUES","anc_min","ANC_min","none",3
"LAB_VALUES","anc_min","anc","none",4
"LAB_VALUES","hemoglobin_min","hemoglobin_min","none",115
"LAB_VALUES","hemoglobin_min","hemoglobin_min_g_dl","none",31
"LAB_VALUES","hemoglobin_min","hemoglobin_min_g_dL","none",4
"LAB_VALUES","hemoglobin_min","hemoglobin_min_gm_dl","none",3
"LAB_VALUES","hemoglobin_min","hemoglobin_min_gdl","none",2
"LAB_VALUES","hemoglobin_min","hemoglobin_min_g_per_dl","none",2
"LAB_VALUES","hemoglobin_min","hemoglobin_min_mmol_l","none",4
"LAB_VALUES","hemoglobin_min","hemoglobin_min_female","none",3
"LAB_VALUES","hemoglobin_min","hemoglobin_min_male","none",3
"LAB_VALUES","hemoglobin_min","hemoglobin_min_female_g_dl","none",2
"LAB_VALUES","hemoglobin_min","hemoglobin_min_male_g_dl","none",2
"LAB_VALUES","hemoglobin_min","min_hemoglobin","none",2
"LAB_VALUES","hemoglobin_max","hemoglobin_max","none",7
"LAB_VALUES","hemoglobin_max","hemoglobin_max_g_dl","none",6
"LAB_VALUES","platelets_min","platelets_min","none",112
"LAB_VALUES","platelets_min","platelet_min","none",64
"LAB_VALUES","platelets_min","platelet_count_min","none",9
"LAB_VALUES","platelets_min","min_platelets","none",4
"LAB_VALUES","platelets_min","min_platelet_count","none",2
"LAB_VALUES","platelets_min","platelet_minimum","none",4
"LAB_VALUES","platelets_min","platelets_min_per_mm3","none",8
"LAB_VALUES","platelets_min","platelets_min_per_ul","none",6
"LAB_VALUES","platelets_min","platelets_min_mcl","none",2
"LAB_VALUES","platelets_min","platelets_min_10_9_l","none",2
"LAB_VALUES","platelets_min","platelets_min_10_9_per_l","none",3
"LAB_VALUES","platelets_min","platelets_min_k","none",2
"LAB_VALUES","platelets_min","platelet_min_per_ul","none",3
"LAB_VALUES","creatinine_max","creatinine_max","none",71
"LAB_VALUES","creatinine_max","serum_creatinine_max","none",9
